SN		Schema 2.9																																																																								
SV		2.9																																																																								
C			1																																																																							
T		TOKEN		CP2L2W																																																																						
HR	rowNumber	placementNumber	sourceID	site	packageNPackageType	groupName	primaryPlacement	placementName	supplierProductName	placementUrl	section	target	dimensions	dimensionsPosition	proposalCostMethod	unitType	rate	unitAmount	plannedCost	flightStart	flightEnd	creativeType	creativeTypeDescription	maxFileSize	creativeDueDate	servedBy	estimatedUniqueViews	estimatedPageViews	shareOfVoice	richMediaAccepted	richMediaFeeIncluded	flashVersion	maxLooping	maxAnimationTiming	comments	supplierValidityEndDate	supplerSalesOrderRef	supplierSalesOrderRefVersion	supplierSalesAdserverOID	supplierPlacementRef	supplierOrderDate	inventoryType	subsection	supplierPlacementParentRef	marketRate	marketValue	CC:AGE TARGETING	CC:GENDER TARGETING	CC:AGENCY-PUBLISHER PAID	CC:DAYPART TARGETING	CC:GEO TARGETING LEVEL	CC:BEHAVIORAL TARGETING	CC:CONTEXTUAL TARGETING	CC:RETARGETING	CC:CPE KPI	CC:VENDOR PROPERTY TYPE	CC:PUBLISHER PRODUCT	CC:FEES	CC:COMMISSION	CC:ACTUAL UNIT DIMENSIONS	CC:MEDIA TYPE	CC:GUARANTEED	M:1	M:2	M:3	M:4	M:5	M:6	M:7	M:8	M:9	M:10	M:11	M:12
P	25			GOOGLE.COM	Display Standard			PerfTestCampaign11			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	26			GOOGLE.COM	Display Standard			PerfTestCampaign12			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	27			GOOGLE.COM	Display Standard			PerfTestCampaign13			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	28			GOOGLE.COM	Display Standard			PerfTestCampaign14			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	29			GOOGLE.COM	Display Standard			PerfTestCampaign15			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	30			GOOGLE.COM	Display Standard			PerfTestCampaign16			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	31			GOOGLE.COM	Display Standard			PerfTestCampaign17			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	32			GOOGLE.COM	Display Standard			PerfTestCampaign18			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	33			GOOGLE.COM	Display Standard			PerfTestCampaign19			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	34			GOOGLE.COM	Display Standard			PerfTestCampaign20			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	35			GOOGLE.COM	Display Standard			PerfTestCampaign21			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	36			GOOGLE.COM	Display Standard			PerfTestCampaign22			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	37			GOOGLE.COM	Display Standard			PerfTestCampaign23			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	38			GOOGLE.COM	Display Standard			PerfTestCampaign24			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	39			GOOGLE.COM	Display Standard			PerfTestCampaign25			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	40			GOOGLE.COM	Display Standard			PerfTestCampaign26			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	41			GOOGLE.COM	Display Standard			PerfTestCampaign27			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	42			GOOGLE.COM	Display Standard			PerfTestCampaign28			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	43			GOOGLE.COM	Display Standard			PerfTestCampaign29			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	44			GOOGLE.COM	Display Standard			PerfTestCampaign30			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	45			GOOGLE.COM	Display Standard			PerfTestCampaign31			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	46			GOOGLE.COM	Display Standard			PerfTestCampaign32			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	47			GOOGLE.COM	Display Standard			PerfTestCampaign33			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	48			GOOGLE.COM	Display Standard			PerfTestCampaign34			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	49			GOOGLE.COM	Display Standard			PerfTestCampaign35			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	50			GOOGLE.COM	Display Standard			PerfTestCampaign36			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	51			GOOGLE.COM	Display Standard			PerfTestCampaign37			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	52			GOOGLE.COM	Display Standard			PerfTestCampaign38			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	53			GOOGLE.COM	Display Standard			PerfTestCampaign39			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	54			GOOGLE.COM	Display Standard			PerfTestCampaign40			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	55			GOOGLE.COM	Display Standard			PerfTestCampaign41			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	56			GOOGLE.COM	Display Standard			PerfTestCampaign42			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	57			GOOGLE.COM	Display Standard			PerfTestCampaign43			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	58			GOOGLE.COM	Display Standard			PerfTestCampaign44			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	59			GOOGLE.COM	Display Standard			PerfTestCampaign45			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	60			GOOGLE.COM	Display Standard			PerfTestCampaign46			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	61			GOOGLE.COM	Display Standard			PerfTestCampaign47			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	62			GOOGLE.COM	Display Standard			PerfTestCampaign48			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	63			GOOGLE.COM	Display Standard			PerfTestCampaign49			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	64			GOOGLE.COM	Display Standard			PerfTestCampaign50			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	65			GOOGLE.COM	Display Standard			PerfTestCampaign51			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	66			GOOGLE.COM	Display Standard			PerfTestCampaign52			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	67			GOOGLE.COM	Display Standard			PerfTestCampaign53			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	68			GOOGLE.COM	Display Standard			PerfTestCampaign54			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	69			GOOGLE.COM	Display Standard			PerfTestCampaign55			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	70			GOOGLE.COM	Display Standard			PerfTestCampaign56			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	71			GOOGLE.COM	Display Standard			PerfTestCampaign57			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	72			GOOGLE.COM	Display Standard			PerfTestCampaign58			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	73			GOOGLE.COM	Display Standard			PerfTestCampaign59			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	74			GOOGLE.COM	Display Standard			PerfTestCampaign60			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	75			GOOGLE.COM	Display Standard			PerfTestCampaign61			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	76			GOOGLE.COM	Display Standard			PerfTestCampaign62			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	77			GOOGLE.COM	Display Standard			PerfTestCampaign63			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	78			GOOGLE.COM	Display Standard			PerfTestCampaign64			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	79			GOOGLE.COM	Display Standard			PerfTestCampaign65			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	80			GOOGLE.COM	Display Standard			PerfTestCampaign66			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	81			GOOGLE.COM	Display Standard			PerfTestCampaign67			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	82			GOOGLE.COM	Display Standard			PerfTestCampaign68			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	83			GOOGLE.COM	Display Standard			PerfTestCampaign69			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	84			GOOGLE.COM	Display Standard			PerfTestCampaign70			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	85			GOOGLE.COM	Display Standard			PerfTestCampaign71			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	86			GOOGLE.COM	Display Standard			PerfTestCampaign72			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	87			GOOGLE.COM	Display Standard			PerfTestCampaign73			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	88			GOOGLE.COM	Display Standard			PerfTestCampaign74			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	89			GOOGLE.COM	Display Standard			PerfTestCampaign75			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	90			GOOGLE.COM	Display Standard			PerfTestCampaign76			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	91			GOOGLE.COM	Display Standard			PerfTestCampaign77			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	92			GOOGLE.COM	Display Standard			PerfTestCampaign78			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	93			GOOGLE.COM	Display Standard			PerfTestCampaign79			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	94			GOOGLE.COM	Display Standard			PerfTestCampaign80			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	95			GOOGLE.COM	Display Standard			PerfTestCampaign81			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	96			GOOGLE.COM	Display Standard			PerfTestCampaign82			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	97			GOOGLE.COM	Display Standard			PerfTestCampaign83			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	98			GOOGLE.COM	Display Standard			PerfTestCampaign84			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	99			GOOGLE.COM	Display Standard			PerfTestCampaign85			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	100			GOOGLE.COM	Display Standard			PerfTestCampaign86			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	101			GOOGLE.COM	Display Standard			PerfTestCampaign87			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	102			GOOGLE.COM	Display Standard			PerfTestCampaign88			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	103			GOOGLE.COM	Display Standard			PerfTestCampaign89			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	104			GOOGLE.COM	Display Standard			PerfTestCampaign90			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	105			GOOGLE.COM	Display Standard			PerfTestCampaign91			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	106			GOOGLE.COM	Display Standard			PerfTestCampaign92			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	107			GOOGLE.COM	Display Standard			PerfTestCampaign93			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	108			GOOGLE.COM	Display Standard			PerfTestCampaign94			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	109			GOOGLE.COM	Display Standard			PerfTestCampaign95			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	110			GOOGLE.COM	Display Standard			PerfTestCampaign96			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	111			GOOGLE.COM	Display Standard			PerfTestCampaign97			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	112			GOOGLE.COM	Display Standard			PerfTestCampaign98			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	113			GOOGLE.COM	Display Standard			PerfTestCampaign99			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	114			GOOGLE.COM	Display Standard			PerfTestCampaign100			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
P	115			GOOGLE.COM	Display Standard			PerfTestCampaign101			Beauty	Demo	120 x 60	Button 2	CPM	Impressions	10	100	1	2016-01-01	2016-12-31					Other				No	No																										PER-I-O						13	7	8	8	8	8	8	8	8	8	8	8
